iter	RMSE
0	14.30805578
1	13.40507447
2	12.5714462
3	11.79708188
4	11.13646458
5	10.57148444
6	10.03350238
7	9.540982079
8	9.074414152
9	8.654372238
10	8.29810424
11	7.980768621
12	7.722891626
13	7.478186311
14	7.23403753
15	7.043366705
16	6.855020379
17	6.688195411
18	6.533371969
19	6.414593107
20	6.284746768
21	6.195263737
22	6.090953975
23	6.009520488
24	5.928185292
25	5.872427346
26	5.804388124
27	5.758286065
28	5.706090421
29	5.662634337
30	5.62202292
31	5.586411213
32	5.540422036
33	5.502508165
34	5.468390241
35	5.445626843
36	5.425845924
37	5.407574203
38	5.384881362
39	5.365440868
40	5.345543175
41	5.326316496
42	5.305534362
43	5.299821753
44	5.274140821
45	5.256564277
46	5.232175774
47	5.220991113
48	5.207454313
49	5.198433287
