iter	Passed	Remaining
0	126	126349
1	129	64514
2	133	44447
3	145	36281
4	154	30797
5	157	26061
6	159	22598
7	172	21423
8	175	19363
9	178	17626
10	188	16931
11	191	15785
12	196	14939
13	202	14274
14	206	13530
15	215	13227
16	219	12679
17	220	12050
18	224	11584
19	233	11419
20	235	10965
21	237	10551
22	240	10212
23	248	10098
24	251	9789
25	252	9471
26	254	9176
27	266	9238
28	268	8980
29	271	8779
30	281	8798
31	287	8692
32	295	8650
33	297	8438
34	298	8233
35	302	8107
36	309	8065
37	311	7892
38	313	7722
39	315	7567
40	317	7432
41	323	7385
42	325	7245
43	327	7110
44	328	6976
45	330	6849
46	331	6727
47	333	6617
48	338	6560
49	339	6453
50	341	6348
51	342	6247
52	344	6151
53	345	6057
54	348	5980
55	351	5929
56	353	5849
57	355	5766
58	356	5689
59	358	5610
60	359	5536
61	363	5501
62	366	5445
63	367	5380
64	369	5315
65	371	5250
66	372	5186
67	373	5124
68	375	5064
69	379	5035
70	381	4988
71	382	4935
72	384	4883
73	386	4835
74	388	4787
75	389	4736
76	391	4687
77	394	4667
78	396	4624
79	398	4579
80	400	4540
81	402	4501
82	403	4452
83	404	4415
84	408	4401
85	410	4365
86	412	4330
87	414	4294
88	415	4256
89	416	4214
90	418	4178
91	419	4144
92	420	4103
93	424	4088
94	425	4054
95	427	4022
96	429	3994
97	430	3962
98	432	3933
99	433	3902
100	435	3872
101	436	3840
102	439	3825
103	440	3798
104	442	3770
105	443	3743
106	445	3716
107	446	3690
108	448	3664
109	449	3639
110	451	3613
111	454	3603
112	456	3580
113	457	3556
114	459	3533
115	460	3509
116	462	3488
117	463	3465
118	465	3442
119	468	3436
120	470	3417
121	472	3398
122	474	3379
123	476	3365
124	477	3344
125	479	3324
126	480	3304
127	484	3301
128	486	3285
129	488	3268
130	489	3249
131	491	3230
132	492	3213
133	494	3195
134	495	3177
135	499	3176
136	501	3159
137	503	3143
138	504	3125
139	506	3108
140	507	3092
141	508	3073
142	509	3054
143	511	3040
144	515	3037
145	516	3022
146	518	3006
147	519	2991
148	521	2976
149	522	2960
150	523	2945
151	525	2931
152	527	2919
153	530	2912
154	531	2898
155	533	2884
156	534	2870
157	536	2857
158	537	2844
159	539	2830
160	540	2816
161	542	2805
162	545	2798
163	546	2787
164	548	2774
165	549	2763
166	551	2750
167	552	2738
168	554	2726
169	556	2714
170	559	2713
171	561	2701
172	562	2690
173	564	2680
174	566	2668
175	567	2657
176	569	2646
177	570	2634
178	571	2623
179	574	2616
180	576	2608
181	578	2600
182	581	2596
183	583	2585
184	584	2575
185	585	2564
186	588	2560
187	590	2550
188	591	2540
189	593	2529
190	594	2519
191	596	2509
192	597	2499
193	599	2490
194	600	2480
195	603	2476
196	605	2466
197	606	2457
198	608	2448
199	610	2440
200	611	2431
201	613	2423
202	615	2414
203	619	2416
204	620	2408
205	622	2400
206	624	2392
207	626	2384
208	627	2376
209	629	2368
210	631	2360
211	634	2359
212	636	2351
213	638	2343
214	639	2335
215	641	2327
216	642	2319
217	644	2311
218	646	2303
219	649	2301
220	650	2293
221	652	2285
222	653	2277
223	655	2271
224	657	2264
225	659	2257
226	662	2254
227	664	2249
228	666	2243
229	668	2236
230	670	2231
231	672	2224
232	673	2217
233	675	2209
234	676	2203
235	679	2199
236	680	2192
237	682	2185
238	683	2177
239	685	2171
240	687	2164
241	688	2157
242	690	2150
243	692	2144
244	694	2139
245	695	2132
246	697	2125
247	698	2119
248	700	2112
249	701	2104
250	703	2097
251	704	2092
252	707	2088
253	709	2082
254	710	2075
255	712	2069
256	713	2063
257	715	2057
258	716	2050
259	718	2044
260	719	2037
261	722	2034
262	724	2031
263	726	2025
264	728	2020
265	730	2015
266	732	2010
267	734	2005
268	739	2009
269	741	2004
270	742	1998
271	744	1992
272	745	1986
273	747	1979
274	748	1974
275	750	1968
276	753	1967
277	755	1962
278	757	1957
279	759	1952
280	761	1947
281	762	1941
282	764	1935
283	765	1929
284	768	1928
285	770	1922
286	771	1916
287	773	1911
288	775	1907
289	776	1902
290	778	1896
291	779	1890
